,pmcid,doi,pub_affiliation,pub_author_list,pub_country,pub_issn,pub_journal_issue,pub_journal_title,pub_journal_title_abbr,pub_pmid,pub_date,pub_title,pub_year,pub_project_number,proj_application_id,proj_activity,proj_administering_ic,proj_application_type,proj_arra_funded,proj_award_notice_date,proj_budget_start,proj_budget_end,proj_core_project_num,proj_ed_inst_type,proj_foa_number,proj_full_project_num,proj_subproject_id,proj_funding_ics,proj_fy,proj_ic_name,proj_nih_spending_cats,proj_org_city,proj_org_country,proj_org_dept,proj_org_fips,proj_org_name,proj_org_state,proj_phr,proj_pi_names,proj_program_officer_name,proj_project_start,proj_project_end,proj_project_terms,proj_project_title,proj_serial_number,proj_study_section,proj_study_section_name,proj_support_year,proj_total_cost,proj_total_cost_sub_project,proj_funding_mechanism,proj_direct_cost_amt,proj_indirect_cost_amt,proj_org_ipf_code,proj_opportunity number
0,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,K08CA133103,7449856.0,K08,CA,1.0,0,2008-05-27T00:00:00,07/01/2008,06/30/2009,K08CA133103,0,PAR-06-221,1K08CA133103-01,0.0,NCI:140940\,2008.0,NATIONAL CANCER INSTITUTE,Biotechnology;Cancer;Childhood Leukemia;Clinical Research;Clinical Research - Extramural;Genetics;Hematology;Human Genome;Pediatric,BOSTON,UNITED STATES,0,US,DANA-FARBER CANCER INSTITUTE,MA,0,"GUTIERREZ, ALEJANDRO;","OJEIFO, JOHN O",07/01/2008,06/30/2013,"(Z)-2-[4(1,2-diphenyl-1-butenyl)-phenoxyl]-N,N-dimethylethanamine;0-11 years old;1-p-beta-dimethylamino-ethoxyphenyl-trans-1,2-diphenylbut-1-ene;21+ years old;ALL - Acute Lymphocytic Leukemia;Acute;Acute Lymphoid Leukemia;Acute T Cell Leukemia;Adolescent;Adolescent Youth;Adult;Age;Animal Model;Animal Models and Related Studies;Anti-Cancer Agents;Anti-Oncogenes;Anti-Tumor Agents;Anti-Tumor Drugs;Antineoplastic Agents;Antineoplastic Drugs;Antineoplastics;Antioncogenes;Antiproliferative Agents;Antiproliferative Drugs;Biological Models;Brachydanio rerio;Cancer Biology;Cancer Drug;Cancer Genes;Cancer-Promoting Gene;Cancers;Chemicals;Chemotherapeutic Agents, Neoplastic Disease;Child;Child Youth;Children (0-21);Comparative Genome Hybridization;DISSEC;DNA Recombination;DNA recombination (naturally occurring);Danio rerio;Development;Disease model;Dissection;Emerogenes;Environment;Estrogen Receptors;Ethanamine, 2-(4-(1,2-diphenyl-1-butenyl)phenoxy)-N,N-dimethyl-, (Z)-;Fishes;Fluorescence;Gene Proteins;Genes;Genes, Cancer Suppressor;Genes, Onco-Suppressor;Genetic;Genetic Models;Genetic Recombination;Genetic Screening;Genetic analyses;Genetics-Mutagenesis;Genomics;Human;Human, Adult;Human, Child;Human, General;Investigators;Lesion;Leukemia, Lymphocytic;Leukemia, Lymphocytic, Acute;Leukemia, T-Cell;Leukemogenesis/Lymphomagenesis;Life;Lymphoblastic Leukemia;Lymphoblastic Leukemia, Acute;Lymphoblastic Leukemia, Acute, T-Cell;Lymphocyte;Lymphocytic;Lymphocytic Leukemia, T-Cell;Lymphocytic Leukemia, T-Cell, Acute;Lymphoid Leukemia;Malignant Neoplasms;Malignant Tumor;Mammals, Mice;Man (Taxonomy);Man, Modern;Mediating;Mentors;Mice;Model System;Modeling;Models, Biologic;Models, Genetic;Molecular;Molecular Biology, Mutagenesis;Murine;Mus;Mutagenesis;NOTCH1;NOTCH1 gene;Numbers;Oncogenes;Oncogenes, Recessive;Oncogenes-Tumor Suppressors;Oncogenesis;Oncogenic;Organism;Outcome;Overexpression;Pathogenesis;Pathway interactions;Patients;Performance;Physiologic;Physiological;Play;Precursor Cell Lymphoblastic Leukemia;Precursor Lymphoblastic Leukemia;Precursor T Lymphoblastic Leukemia;Process;Programs (PT);Programs [Publication Type];Promoter;Promoters (Genetics);Promotor;Promotor (Genetics);Protein Gene Products;Protein Overexpression;Proteins;Recombination;Recombination, Genetic;Recurrence;Recurrent;Regulation;Research;Research Personnel;Researchers;Role;Sampling;System;System, LOINC Axis 4;T-Cell Leukemia;T-Cell Type Acute Leukemia;T-Cells;T-Lymphocyte;T-Lymphocytic Leukemia;T-Lymphocytic Leukemia, Acute;TAM;TAN1;Tamoxifen;Therapeutic;Thymus-Dependent Lymphocytes;Toxic effect;Toxicities;Transforming Genes;Transgenes;Transgenic Organisms;Tumor Suppressing Genes;Tumor Suppressor Genes;Tumor-Specific Treatment Agents;Work;Zebra Danio;Zebra Fish;Zebrafish;acute lymphatic leukemia;acute lymphogenous leukemia;acute lymphomatic leukemia;adult human (21+);anticancer agent;anticancer drug;base;career;chemical genetics;children;comparative genomic hybridization;disorder model;gene product;genetic analysis;hN1;human disease;interest;juvenile;juvenile human;leukemogenesis;living system;lymph cell;lymphatic leukemia;lymphogenous leukemia;malignancy;model organism;neoplasm/cancer;novel;oncosuppressor gene;overexpress;pathway;programs;small molecule;social role;thymocyte;thymus derived lymphocyte;tool;transgenic;tumor;tumorigenesis;youngster",Zebrafish Chemical and Classical Genetics Approach to the Pathogenesis of T-ALL,133103.0,NCI,Subcommittee E - Prevention &Control,1.0,140940.0,,0,,,,0
1,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,K08CA133103,7628345.0,K08,CA,5.0,N,06/05/2009,07/01/2009,06/30/2010,K08CA133103,0,PAR-06-221,5K08CA133103-02,0.0,NCI:140940\,2009.0,NATIONAL CANCER INSTITUTE,Biotechnology;Clinical Research - Extramural;Hematology;Clinical Research;Human Genome;Cancer;Genetics;,BOSTON,UNITED STATES,0,US,DANA-FARBER CANCER INST,MA,0,"GUTIERREZ, ALEJANDRO;","OJEIFO, JOHN O",07/01/2008,06/30/2013,Acute T Cell Leukemia;Adolescent;Adult;Age;Animal Model;Antineoplastic Agents;base;Biological Models;Cancer Biology;career development;chemical genetics;Chemicals;Child;comparative genomic hybridization;Disease model;Dissection;Environment;Estrogen Receptors;Fishes;Fluorescence;Gene Proteins;Genes;Genetic;genetic analysis;Genetic Models;Genetic Recombination;Genetic Screening;Genomics;Human;human disease;interest;Lesion;leukemogenesis;Life;Lymphocyte;Malignant Neoplasms;Mediating;Mentors;Modeling;Molecular;Mus;Mutagenesis;NOTCH1 gene;novel;Oncogenes;Oncogenic;Organism;Outcome;overexpression;Pathogenesis;Pathway interactions;Patients;Performance;Physiological;Play;Process;programs;Promotor (Genetics);Proteins;Recurrence;Regulation;Research;Research Personnel;Role;Sampling;small molecule;System;T-Cell Leukemia;T-Lymphocyte;Tamoxifen;Therapeutic;thymocyte;tool;Toxic effect;Transgenes;Transgenic Organisms;tumor;Tumor Suppressor Genes;tumorigenesis;Work;Zebrafish,Zebrafish Chemical and Classical Genetics Approach to the Pathogenesis of T-ALL,133103.0,NCI,Subcommittee B - Comprehensiveness,2.0,140940.0,,Other Research Related,,,,0
2,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,K08CA133103,7864277.0,K08,CA,5.0,N,6/29/2010,7/1/2010,6/30/2011,K08CA133103,0,PAR-06-221,5K08CA133103-03,0.0,NCI:140940\,2010.0,NATIONAL CANCER INSTITUTE,Biotechnology;Clinical Research;Cancer;Hematology;Genetics;Human Genome,BOSTON,UNITED STATES,0,US,DANA-FARBER CANCER INST,MA,0,"GUTIERREZ, ALEJANDRO;","OJEIFO, JOHN O",7/1/2008,6/30/2013,Acute T Cell Leukemia;Adolescent;Adult;Age;Animal Model;Antineoplastic Agents;base;Biological Models;Cancer Biology;career development;chemical genetics;Chemicals;Child;comparative genomic hybridization;Disease model;Dissection;Environment;Estrogen Receptors;Fishes;Fluorescence;Gene Proteins;Genes;Genetic;genetic analysis;Genetic Models;Genetic Recombination;Genetic Screening;Genomics;Human;human disease;interest;Lesion;leukemogenesis;Life;Lymphocyte;Malignant Neoplasms;Mediating;Mentors;Modeling;Molecular;Mus;Mutagenesis;NOTCH1 gene;novel;Oncogenes;Oncogenic;Organism;Outcome;overexpression;Pathogenesis;Pathway interactions;Patients;Performance;Physiological;Play;Process;programs;Promotor (Genetics);Proteins;Recurrence;Regulation;Research;Research Personnel;Role;Sampling;small molecule;System;T-Cell Leukemia;T-Lymphocyte;Tamoxifen;Therapeutic;thymocyte;tool;Toxic effect;Transgenes;Transgenic Organisms;tumor;Tumor Suppressor Genes;tumorigenesis;Work;Zebrafish,Zebrafish Chemical and Classical Genetics Approach to the Pathogenesis of T-ALL,133103.0,NCI,Subcommittee B - Comprehensiveness,3.0,140940.0,,Other Research Related,,,,0
3,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,K08CA133103,8104193.0,K08,CA,5.0,N,06/29/2011,07/01/2011,02/29/2012,K08CA133103,0,PAR-06-221,5K08CA133103-04,0.0,NCI:140940\,2011.0,NATIONAL CANCER INSTITUTE,Rare Diseases;Genetics;Human Genome;Hematology;Biotechnology;Childhood Leukemia;Pediatric;Cancer;Clinical Research,BOSTON,UNITED STATES,0,US,DANA-FARBER CANCER INST,MA,0,"GUTIERREZ, ALEJANDRO;","OJEIFO, JOHN O",07/01/2008,02/29/2012,Acute T Cell Leukemia;Adolescent;Adult;Age;Animal Model;Antineoplastic Agents;base;Biological Models;Cancer Biology;career development;chemical genetics;Chemicals;Child;comparative genomic hybridization;Disease model;Dissection;Environment;Estrogen Receptors;Fishes;Fluorescence;Gene Proteins;Genes;Genetic;genetic analysis;Genetic Models;Genetic Recombination;Genetic Screening;Genomics;Human;human disease;interest;Lesion;leukemogenesis;Life;Lymphocyte;Malignant Neoplasms;Mediating;Mentors;Modeling;Molecular;Mus;Mutagenesis;NOTCH1 gene;novel;Oncogenes;Oncogenic;Organism;Outcome;overexpression;Pathogenesis;Pathway interactions;Patients;Performance;Physiological;Play;Process;programs;Promotor (Genetics);Proteins;Recurrence;Regulation;Research;Research Personnel;Role;Sampling;small molecule;System;T-Cell Leukemia;T-Lymphocyte;TAL1 gene;Tamoxifen;Therapeutic;thymocyte;tool;Toxic effect;Transgenes;Transgenic Organisms;tumor;Tumor Suppressor Genes;tumorigenesis;Work;Zebrafish,Zebrafish Chemical and Classical Genetics Approach to the Pathogenesis of T-ALL,133103.0,NCI,Subcommittee B - Comprehensiveness,4.0,140940.0,,Other Research Related,,,,0
4,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,K08CA133103,8292154.0,K08,CA,7.0,N,9/7/2012,7/1/2012,6/30/2013,K08CA133103,0,PAR-06-221,7K08CA133103-05,0.0,NCI:140940\,2012.0,NATIONAL CANCER INSTITUTE,Biotechnology; Cancer; Childhood Leukemia; Clinical Research; Genetics; Hematology; Human Genome; Pediatric; Rare Diseases; ,BOSTON,UNITED STATES,0,US,CHILDREN'S HOSPITAL CORPORATION,MA,0,"GUTIERREZ, ALEJANDRO ;","OJEIFO, JOHN O",7/1/2008,6/30/2013,Acute Lymphocytic Leukemia; Acute T Cell Leukemia; Adolescent; Adult; Age; Animal Model; Antineoplastic Agents; base; Biological Models; Cancer Biology; career development; chemical genetics; Chemicals; Child; comparative genomic hybridization; Disease model; Dissection; Environment; Estrogen Receptors; Fishes; Fluorescence; Gene Proteins; Genes; Genetic; genetic analysis; Genetic Models; Genetic Recombination; Genetic Screening; Genomics; Human; human disease; interest; Lesion; leukemogenesis; Life; Lymphocyte; Malignant Neoplasms; Mediating; Mentors; Modeling; Molecular; Mus; Mutagenesis; NOTCH1 gene; novel; Oncogenes; Oncogenic; Organism; Outcome; overexpression; Pathogenesis; Pathway interactions; Patients; Performance; Physiological; Play; Process; programs; promoter; Proteins; Recurrence; Regulation; Research; Research Personnel; Role; Sampling; small molecule; System; T cell therapy; T-Cell Leukemia; T-Lymphocyte; TAL1 gene; Tamoxifen; Therapeutic; thymocyte; tool; Toxic effect; Transgenes; Transgenic Organisms; tumor; Tumor Suppressor Genes; tumorigenesis; Work; Zebrafish; ,Zebrafish Chemical and Classical Genetics Approach to the Pathogenesis of T-ALL,133103.0,NCI,Subcommittee I - Transistion to Independence ,5.0,140940.0,,OTHER RESEARCH-RELATED,130500.0,10440.0,,0
5,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,P01CA068484,2112462.0,P01,CA,1.0,0,1995-09-25T00:00:00,09/30/1995,07/31/1996,P01CA068484,0,0,1P01CA068484-01,0.0,0,1995.0,NATIONAL CANCER INSTITUTE,0,BOSTON,UNITED STATES,0,US,DANA-FARBER CANCER INSTITUTE,MA,0,"SALLAN, STEPHEN E;",0,09/30/1995,07/31/2000,0,MAXIMIZING THE THERAPEUTIC INDEX OF CHILDHOOD ALL,68484.0,CCRP,Cancer Centers and Research Programs Review Committee,1.0,,,0,,,,0
6,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,P01CA068484,2008986.0,P01,CA,5.0,0,1996-09-26T00:00:00,08/01/1996,07/31/1997,P01CA068484,0,0,5P01CA068484-02,0.0,0,1996.0,NATIONAL CANCER INSTITUTE,0,BOSTON,UNITED STATES,0,US,DANA-FARBER CANCER INSTITUTE,MA,0,"SALLAN, STEPHEN E;",0,09/30/1995,07/31/2000,0,MAXIMIZING THE THERAPEUTIC INDEX OF CHILDHOOD ALL,68484.0,CCRP,Cancer Centers and Research Programs Review Committee,2.0,,,0,,,,0
7,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,P01CA068484,5209491.0,P01,CA,5.0,0,0,0,0,P01CA068484,0,0,5P01CA068484-02,1.0,0,1996.0,NATIONAL CANCER INSTITUTE,0,0,UNITED STATES,0,US,0,0,0,"RITZ, JEROME;",0,0,0,acute lymphocytic leukemia;neoplasm /cancer immunotherapy;pediatric neoplasm /cancer;T lymphocyte;immunomodulators;natural killer cells;tumor antigens;cytokine;delayed hypersensitivity;cellular immunity;antigen presenting cell;cytotoxic T lymphocyte;cell fusion;hybrid cells;lymphokines;major histocompatibility complex;interleukin 2;cell mediated lymphocytolysis test;cell sorting;human subject;transfection;polymerase chain reaction;,INDUCTION OF T AND NK CELL ANTI-ALL IMMUNITY,68484.0,0,0,2.0,,,0,,,,0
8,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,P01CA068484,5209492.0,P01,CA,5.0,0,0,0,0,P01CA068484,0,0,5P01CA068484-02,2.0,0,1996.0,NATIONAL CANCER INSTITUTE,0,0,UNITED STATES,0,US,0,0,0,"GRIBBEN, JOHN G.;",0,0,0,neoplasm /cancer relapse /recurrence;cancer risk;acute lymphocytic leukemia;pediatric neoplasm /cancer;bone marrow purging;immunoglobulin genes;chromosome translocation;prognosis;gene rearrangement;bone marrow transplantation;hematopoietic stem cells;T cell receptor;oligonucleotides;nucleic acid sequence;nucleic acid probes;human subject;child (0-11);polymerase chain reaction;,CLINICAL SIGNIFICANCE OF MINIMAL RESIDUAL DISEASE IN CHILDHOOD ALL,68484.0,0,0,2.0,,,0,,,,0
9,3387267,10.1371/journal.pone.0039725,"Department of Medicine, Stem Cell Program and Moores Cancer Center, University of California San Diego, La Jolla, California, United States of America.","Ma, Wenxue; Gutierrez, Alejandro; Goff, Daniel J; Geron, Ifat; Sadarangani, Anil; Jamieson, Christina A M; Court, Angela C; Shih, Alice Y; Jiang, Qingfei; Wu, Christina C; Li, Kang; Smith, Kristen M; Crews, Leslie A; Gibson, Neil W; Deichaite, Ida; Morris, Sheldon R; Wei, Ping; Carson, Dennis A; Look, A Thomas; Jamieson, Catriona H M",United States,1932-6203,6,PloS one,PLoS One,22768113,2012,NOTCH1 signaling promotes human T-cell acute lymphoblastic leukemia initiating cell regeneration in supportive niches.,2012.0,P01CA068484,5209493.0,P01,CA,5.0,0,0,0,0,P01CA068484,0,0,5P01CA068484-02,3.0,0,1996.0,NATIONAL CANCER INSTITUTE,0,0,UNITED STATES,0,US,0,0,0,"FISHER, DAVID E;",0,0,0,apoptosis;acute lymphocytic leukemia;molecular oncology;cellular oncology;pediatric neoplasm /cancer;prognosis;tumor suppressor genes;enzyme activity;DNA damage;DNA binding protein;genetic regulation;antileukemic agent;enzyme substrate;gene mutation;neoplasm /cancer radiation therapy;neoplasm /cancer chemotherapy;protein kinase;gel mobility shift assay;northern blottings;child (0-11);cell sorting;human subject;,APOPTOSIS IN ALL--CONTRIBUTION TO THERAPEUTIC INDEX,68484.0,0,0,2.0,,,0,,,,0
